instance_id,scale,CF_level,operation_count,method,display_method,seed_count,median_rpd_percent,median_runtime_seconds,median_runtime_budget_fraction,median_time_to_best_seconds,median_time_to_best_budget_fraction,median_decoder_evaluations
CB1_CORE_L_CF3_R01,L,CF3,193,GA,GA,5,22.571552471812662,386.0194648979814,1.000050427196843,375.05683991499245,0.9716498443393586,8005.0
CB1_CORE_L_CF3_R01,L,CF3,193,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,16.934084995663486,67.35074826795608,0.17448380380299502,66.32760599796893,0.17183317616054128,4040.0
CB1_CORE_L_CF3_R02,L,CF3,167,Adapted DCGA,DCGA,5,37.17948717948718,334.0445983620011,1.0001335280299435,309.9652023279923,0.9280395279281206,2814.0
CB1_CORE_L_CF3_R02,L,CF3,167,CSG-NI Phase6H provisional,CSG-NI,5,2.7313266443701227,334.0084602420102,1.0000253300658988,0.7086088200449012,0.0021215832935476083,15906.0
CB1_CORE_L_CF3_R02,L,CF3,167,DABC-RIACRSP,DABC,5,25.501672240802677,334.00961248995736,1.000028779910052,321.19765009498224,0.9616696110628211,20212.0
CB1_CORE_L_CF3_R02,L,CF3,167,GA,GA,5,21.711259754738016,334.01504211701103,1.000045036278476,306.56677582502016,0.9178645982785034,8942.0
CB1_CORE_L_CF3_R02,L,CF3,167,LG_HGA-RIACRSP-v2-N4M,LG_HGA,5,11.120401337792643,53.55340855603572,0.16033954657495725,52.78999474999728,0.15805387649699784,4040.0
CB1_CORE_L_CF3_R03,L,CF3,176,Adapted DCGA,DCGA,5,36.24091381100727,352.0887049390003,1.0002520026676145,309.598706047982,0.8795417785454034,2686.0
CB1_CORE_L_CF3_R03,L,CF3,176,CSG-NI Phase6H provisional,CSG-NI,5,0.8307372793354102,352.00652309699217,1.0000185315255459,0.9471315879491158,0.002690714738491806,16137.0
CB1_CORE_L_CF3_R03,L,CF3,176,DABC-RIACRSP,DABC,5,21.339563862928348,352.0076244410011,1.000021660343753,339.0724752729875,0.9632740774800781,19605.0
CB1_CORE_L_CF3_R03,L,CF3,176,GA,GA,5,14.667705088265835,352.02549708099104,1.0000724348891792,345.2201611629862,0.980739094213029,9621.0
